"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0659451","Rancho Cucamonga city, California","176359","82",
"1600000US0659920","Redding city, California","92896","39",
"1600000US0659962","Redlands city, California","73853","34",
"1600000US0660018","Redondo Beach city, California","68908","49",
"1600000US0660102","Redwood City city, California","80529","66",
"1600000US0660466","Rialto city, California","103564","78",
"1600000US0660620","Richmond city, California","114287","61",
"1600000US0662000","Riverside city, California","320785","80",
"1600000US0662364","Rocklin city, California","73850","42",
"1600000US0662938","Roseville city, California","154826","46",
"1600000US0664000","Sacramento city, California","528026","109",
"1600000US0664224","Salinas city, California","161019","35",
"1600000US0665000","San Bernardino city, California","220314","65",
"1600000US0665042","San Buenaventura (Ventura) city, California","109528","52",
"1600000US0666000","San Diego city, California","1381182","74",
"1600000US0667000","San Francisco city, California","808437","*****",
"1600000US0668000","San Jose city, California","971265","146",
"1600000US0668084","San Leandro city, California","86761","34",
"1600000US0668196","San Marcos city, California","94855","36",
"1600000US0668252","San Mateo city, California","100996","47",
"1600000US0668378","San Ramon city, California","85959","39",
"1600000US0669000","Santa Ana city, California","308203","88",
"1600000US0669070","Santa Barbara city, California","87519","54",
"1600000US0669084","Santa Clara city, California","126920","57",
"1600000US0669088","Santa Clarita city, California","221362","62",
"1600000US0669196","Santa Maria city, California","110124","24",
"1600000US0670000","Santa Monica city, California","89951","29",
"1600000US0670098","Santa Rosa city, California","177185","41",
"1600000US0672016","Simi Valley city, California","124395","55",
"1600000US0673080","South Gate city, California","90935","41",
"1600000US0675000","Stockton city, California","321796","82",
"1600000US0677000","Sunnyvale city, California","153076","61",
"1600000US0678120","Temecula city, California","111763","51",
"1600000US0678582","Thousand Oaks city, California","124257","69",
"1600000US0680000","Torrance city, California","141127","30",
"1600000US0680238","Tracy city, California","97328","35",
"1600000US0680644","Tulare city, California","70690","27",
"1600000US0680812","Turlock city, California","72307","30",
"1600000US0680854","Tustin city, California","78412","41",
"1600000US0681204","Union City city, California","67049","41",
"1600000US0681344","Upland city, California","78851","44",
"1600000US0681554","Vacaville city, California","101898","75",
"1600000US0681666","Vallejo city, California","123583","77",
"1600000US0682590","Victorville city, California","137224","41",
"1600000US0682954","Visalia city, California","143965","34",
"1600000US0682996","Vista city, California","97766","34",
"1600000US0683346","Walnut Creek city, California","68969","33",
"1600000US0684200","West Covina city, California","105032","73",
"1600000US0684550","Westminster city, California","89399","45",
"1600000US0685292","Whittier city, California","84503","40",
"1600000US0686832","Yorba Linda city, California","67077","51",
"1600000US0686972","Yuba City city, California","69004","36",
"1600000US0803455","Arvada city, Colorado","121672","1830",
"1600000US0804000","Aurora city, Colorado","393319","1353",
"1600000US0807850","Boulder city, Colorado","105482","23",
"1600000US0809280","Broomfield city, Colorado","76121","*****",
"1600000US0812415","Castle Rock town, Colorado","80192","28",
"1600000US0812815","Centennial city, Colorado","105860","40",
"1600000US0816000","Colorado Springs city, Colorado","486228","86",
"1600000US0816495","Commerce City city, Colorado","66116","28",
"1600000US0820000","Denver city, Colorado","713252","*****",
"1600000US0827425","Fort Collins city, Colorado","169248","26",
"1600000US0831660","Grand Junction city, Colorado","68054","71",
"1600000US0832155","Greeley city, Colorado","109203","34",
"1600000US0836410","Highlands Ranch CDP, Colorado","103830","5647",
"1600000US0843000","Lakewood city, Colorado","156114","39",
"1600000US0845970","Longmont city, Colorado","100656","2021",
"1600000US0846465","Loveland city, Colorado","77890","37",
"1600000US0862000","Pueblo city, Colorado","111449","37",
"1600000US0877290","Thornton city, Colorado","143279","38",
"1600000US0883835","Westminster city, Colorado","114539","39",
"1600000US0908000","Bridgeport city, Connecticut","148365","48",
"1600000US0918430","Danbury city, Connecticut","86971","33",
"1600000US0937000","Hartford city, Connecticut","120682","37",
"1600000US0950370","New Britain city, Connecticut","74408","52",
"1600000US0952000","New Haven city, Connecticut","138909","41",
